Year;race_ethnicity;date;milestone
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;Hispa;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1956;White;;
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;Hispa;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;Asian;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;Asian;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1957;White;1957;Central High School integrated                          
1958;White;;
1958;White;;
1958;Black;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
