Year;race_ethnicity;start;end;president;party
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1953;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;Black;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;Hispa;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1954;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1955;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;Hispa;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1956;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;Hispa;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;Asian;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;Asian;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1957;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;Black;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1958;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;Black;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1959;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1960;White;1953;1961;Dwight D. Eisenhower  ;Republican                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;Hispa;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1961;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;Arab ;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1962;White;1961;1963;John F. Kennedy       ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;Black;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1963;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;Hispa;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1964;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;Asian;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1965;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;Asian;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;Indig;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1966;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;Black;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;Black;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1967;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1968;White;1963;1969;Lyndon B. Johnson     ;Democratic                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;Black;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1969;White;1969;1974;Richard Nixon         ;Republican                                   
1970;White;1969;1974;Richard Nixon         ;Republican                                   
1970;White;1969;1974;Richard Nixon         ;Republican                                   
1970;Black;1969;1974;Richard Nixon         ;Republican                                   
1970;White;1969;1974;Richard Nixon         ;Republican                                   
1970;White;1969;1974;Richard Nixon         ;Republican                                   
1970;Indig;1969;1974;Richard Nixon         ;Republican                                   
1970;White;1969;1974;Richard Nixon         ;Republican                                   
1970;White;1969;1974;Richard Nixon         ;Republican                                   
