Year;Award;Winner;Name;Ethnicity;Gender;Birthplace
2013;Directing                   ;1;Alfonso Cuarón                                           ;White;M;
2013;Directing                   ;;David O. Russell                                          ;White;M;
2013;Directing                   ;;Martin Scorsese                                           ;White;M;
2013;Directing                   ;;Steve McQueen                                             ;White;M;USA      
2014;Directing                   ;1;Alejandro G. Iñárritu                                   ;White;M;
2014;Directing                   ;;Bennett Miller                                            ;White;M;
2014;Directing                   ;;Morten Tyldum                                             ;White;M;
2014;Directing                   ;;Richard Linklater                                         ;White;M;USA      
2014;Directing                   ;;Wes Anderson                                              ;White;M;
2015;Directing                   ;;Adam McKay                                                ;White;M;
2015;Directing                   ;1;Alejandro G. Iñárritu                                   ;White;M;
2015;Directing                   ;;George Miller                                             ;White;M;
2015;Directing                   ;;Lenny Abrahamson                                          ;Irish;M;
2015;Directing                   ;;Tom McCarthy                                              ;White;M;USA      
