Year;Award;Name;race_ethnicity
1947;Actress in a Supporting Role;Celeste Holm                   ;White
1947;Actress in a Supporting Role;Ethel Barrymore                ;White
1947;Actress in a Supporting Role;Gloria Grahame                 ;White
1947;Actress in a Supporting Role;Marjorie Main                  ;White
1947;Directing                   ;David Lean                     ;White
1947;Directing                   ;Edward Dmytryk                 ;White
1947;Directing                   ;Elia Kazan                     ;White
1947;Directing                   ;George Cukor                   ;White
1947;Directing                   ;Henry Koster                   ;White
1948;Actor                       ;Clifton Webb                   ;White
1948;Actor                       ;Dan Dailey                     ;White
1948;Actor                       ;Laurence Olivier               ;White
1948;Actor                       ;Lew Ayres                      ;White
1948;Actor                       ;Montgomery Clift               ;White
1948;Actor in a Supporting Role  ;Cecil Kellaway                 ;White
1948;Actor in a Supporting Role  ;Charles Bickford               ;White
1948;Actor in a Supporting Role  ;José Ferrer                   ;Hispa
1948;Actor in a Supporting Role  ;Oscar Homolka                  ;White
1948;Actor in a Supporting Role  ;Walter Huston                  ;White
1948;Actress                     ;Barbara Stanwyck               ;White
1948;Actress                     ;Ingrid Bergman                 ;White
1948;Actress                     ;Irene Dunne                    ;White
1948;Actress                     ;Jane Wyman                     ;White
1948;Actress                     ;Olivia de Havilland            ;White
1948;Actress in a Supporting Role;Agnes Moorehead                ;White
1948;Actress in a Supporting Role;Barbara Bel Geddes             ;White
1948;Actress in a Supporting Role;Claire Trevor                  ;White
1948;Actress in a Supporting Role;Ellen Corby                    ;White
1948;Actress in a Supporting Role;Jean Simmons                   ;White
1948;Directing                   ;Anatole Litvak                 ;White
1948;Directing                   ;Fred Zinnemann                 ;White
1948;Directing                   ;Jean Negulesco                 ;White
1948;Directing                   ;John Huston                    ;White
1948;Directing                   ;Laurence Olivier               ;White
1949;Actor                       ;Broderick Crawford             ;White
1949;Actor                       ;Gregory Peck                   ;White
1949;Actor                       ;John Wayne                     ;White
1949;Actor                       ;Kirk Douglas                   ;White
1949;Actor                       ;Richard Todd                   ;White
1949;Actor in a Supporting Role  ;Arthur Kennedy                 ;White
1949;Actor in a Supporting Role  ;Dean Jagger                    ;White
1949;Actor in a Supporting Role  ;James Whitmore                 ;White
1949;Actor in a Supporting Role  ;John Ireland                   ;White
1949;Actor in a Supporting Role  ;Ralph Richardson               ;White
1949;Actress                     ;Deborah Kerr                   ;White
1949;Actress                     ;Jeanne Crain                   ;White
1949;Actress                     ;Loretta Young                  ;White
1949;Actress                     ;Olivia de Havilland            ;White
1949;Actress                     ;Susan Hayward                  ;White
1949;Actress in a Supporting Role;Celeste Holm                   ;White
1949;Actress in a Supporting Role;Elsa Lanchester                ;White
1949;Actress in a Supporting Role;Ethel Barrymore                ;White
1949;Actress in a Supporting Role;Ethel Waters                   ;Black
1949;Actress in a Supporting Role;Mercedes McCambridge           ;White
1949;Directing                   ;Carol Reed                     ;White
1949;Directing                   ;Joseph L. Mankiewicz           ;White
1949;Directing                   ;Robert Rossen                  ;White
1949;Directing                   ;William A. Wellman             ;White
1949;Directing                   ;William Wyler                  ;White
1950;Actor                       ;James Stewart                  ;White
1950;Actor                       ;José Ferrer                   ;Hispa
1950;Actor                       ;Louis Calhern                  ;White
1950;Actor                       ;Spencer Tracy                  ;White
1950;Actor                       ;William Holden                 ;White
1950;Actor in a Supporting Role  ;Edmund Gwenn                   ;White
1950;Actor in a Supporting Role  ;Erich von Stroheim             ;White
1950;Actor in a Supporting Role  ;George Sanders                 ;White
1950;Actor in a Supporting Role  ;Jeff Chandler                  ;White
1950;Actor in a Supporting Role  ;Sam Jaffe                      ;White
1950;Actress                     ;Anne Baxter                    ;White
1950;Actress                     ;Bette Davis                    ;White
1950;Actress                     ;Eleanor Parker                 ;White
1950;Actress                     ;Gloria Swanson                 ;White
1950;Actress                     ;Judy Holliday                  ;White
1950;Actress in a Supporting Role;Celeste Holm                   ;White
1950;Actress in a Supporting Role;Hope Emerson                   ;White
1950;Actress in a Supporting Role;Josephine Hull                 ;White
1950;Actress in a Supporting Role;Nancy Olson                    ;White
1950;Actress in a Supporting Role;Thelma Ritter                  ;White
1950;Directing                   ;Billy Wilder                   ;White
1950;Directing                   ;Carol Reed                     ;White
1950;Directing                   ;George Cukor                   ;White
1950;Directing                   ;John Huston                    ;White
1950;Directing                   ;Joseph L. Mankiewicz           ;White
1951;Actor                       ;Arthur Kennedy                 ;White
1951;Actor                       ;Fredric March                  ;White
1951;Actor                       ;Humphrey Bogart                ;White
1951;Actor                       ;Marlon Brando                  ;White
1951;Actor                       ;Montgomery Clift               ;White
1951;Actor in a Supporting Role  ;Gig Young                      ;White
1951;Actor in a Supporting Role  ;Karl Malden                    ;White
1951;Actor in a Supporting Role  ;Kevin McCarthy                 ;White
1951;Actor in a Supporting Role  ;Leo Genn                       ;White
1951;Actor in a Supporting Role  ;Peter Ustinov                  ;White
1951;Actress                     ;Eleanor Parker                 ;White
1951;Actress                     ;Jane Wyman                     ;White
1951;Actress                     ;Katharine Hepburn              ;White
1951;Actress                     ;Shelley Winters                ;White
1951;Actress                     ;Vivien Leigh                   ;White
1951;Actress in a Supporting Role;Joan Blondell                  ;White
1951;Actress in a Supporting Role;Kim Hunter                     ;White
1951;Actress in a Supporting Role;Lee Grant                      ;White
1951;Actress in a Supporting Role;Mildred Dunnock                ;White
1951;Actress in a Supporting Role;Thelma Ritter                  ;White
1951;Directing                   ;Elia Kazan                     ;White
1951;Directing                   ;George Stevens                 ;White
1951;Directing                   ;John Huston                    ;White
1951;Directing                   ;Vincente Minnelli              ;White
1951;Directing                   ;William Wyler                  ;White
1952;Actor                       ;Alec Guinness                  ;White
1952;Actor                       ;Gary Cooper                    ;White
1952;Actor                       ;José Ferrer                   ;Hispa
1952;Actor                       ;Kirk Douglas                   ;White
1952;Actor                       ;Marlon Brando                  ;White
1952;Actor in a Supporting Role  ;Anthony Quinn                  ;Hispa
1952;Actor in a Supporting Role  ;Arthur Hunnicutt               ;White
1952;Actor in a Supporting Role  ;Jack Palance                   ;White
1952;Actor in a Supporting Role  ;Richard Burton                 ;White
1952;Actor in a Supporting Role  ;Victor McLaglen                ;White
1952;Actress                     ;Bette Davis                    ;White
1952;Actress                     ;Joan Crawford                  ;White
1952;Actress                     ;Julie Harris                   ;White
1952;Actress                     ;Shirley Booth                  ;White
1952;Actress                     ;Susan Hayward                  ;White
1952;Actress in a Supporting Role;Colette Marchand               ;White
1952;Actress in a Supporting Role;Gloria Grahame                 ;White
1952;Actress in a Supporting Role;Jean Hagen                     ;White
1952;Actress in a Supporting Role;Terry Moore                    ;White
1952;Actress in a Supporting Role;Thelma Ritter                  ;White
1952;Directing                   ;Cecil B. DeMille               ;White
1952;Directing                   ;Fred Zinnemann                 ;White
