Year;Award;Winner;Film;Name
1989;Directing                   ;1;Born on the Fourth of July     ;Oliver Stone                                              
1989;Directing                   ;;Crimes and Misdemeanors        ;Woody Allen                                               
1989;Directing                   ;;Dead Poets Society             ;Peter Weir                                                
1989;Directing                   ;;Henry V                        ;Kenneth Branagh                                           
1989;Directing                   ;;My Left Foot                   ;Jim Sheridan                                              
1990;Directing                   ;1;Dances With Wolves             ;Kevin Costner                                             
1990;Directing                   ;;The Godfather, Part III        ;Francis Ford Coppola                                      
1990;Directing                   ;;Good Fellas                    ;Martin Scorsese                                           
1990;Directing                   ;;The Grifters                   ;Stephen Frears                                            
1990;Directing                   ;;Reversal of Fortune            ;Barbet Schroeder                                          
1991;Directing                   ;;Boyz N the Hood                ;John Singleton                                            
1991;Directing                   ;;Bugsy                          ;Barry Levinson                                            
1991;Directing                   ;;JFK                            ;Oliver Stone                                              
1991;Directing                   ;1;The Silence of the Lambs       ;Jonathan Demme                                            
1991;Directing                   ;;Thelma & Louise                ;Ridley Scott                                              
1992;Directing                   ;;The Crying Game                ;Neil Jordan                                               
1992;Directing                   ;;Howards End                    ;James Ivory                                               
1992;Directing                   ;;The Player                     ;Robert Altman                                             
1992;Directing                   ;;Scent of a Woman               ;Martin Brest                                              
1992;Directing                   ;1;Unforgiven                     ;Clint Eastwood                                            
1993;Directing                   ;;In the Name of the Father      ;Jim Sheridan                                              
1993;Directing                   ;;The Piano                      ;Jane Campion                                              
1993;Directing                   ;;The Remains of the Day         ;James Ivory                                               
1993;Directing                   ;1;Schindler's List               ;Steven Spielberg                                          
1993;Directing                   ;;Short Cuts                     ;Robert Altman                                             
1994;Directing                   ;;Bullets over Broadway          ;Woody Allen                                               
1994;Directing                   ;1;Forrest Gump                   ;Robert Zemeckis                                           
1994;Directing                   ;;Pulp Fiction                   ;Quentin Tarantino                                         
1994;Directing                   ;;Quiz Show                      ;Robert Redford                                            
1994;Directing                   ;;Red                            ;Krzysztof Kieslowski                                      
1995;Directing                   ;;Babe                           ;Chris Noonan                                              
1995;Directing                   ;1;Braveheart                     ;Mel Gibson                                                
1995;Directing                   ;;Dead Man Walking               ;Tim Robbins                                               
1995;Directing                   ;;Leaving Las Vegas              ;Mike Figgis                                               
1995;Directing                   ;;The Postman (Il Postino)       ;Michael Radford                                           
1996;Directing                   ;1;The English Patient            ;Anthony Minghella                                         
1996;Directing                   ;;Fargo                          ;Joel Coen                                                 
1996;Directing                   ;;The People vs. Larry Flynt     ;Milos Forman                                              
1996;Directing                   ;;Secrets & Lies                 ;Mike Leigh                                                
1996;Directing                   ;;Shine                          ;Scott Hicks                                               
1997;Directing                   ;;The Full Monty                 ;Peter Cattaneo                                            
1997;Directing                   ;;Good Will Hunting              ;Gus Van Sant                                              
1997;Directing                   ;;L.A. Confidential              ;Curtis Hanson                                             
1997;Directing                   ;;The Sweet Hereafter            ;Atom Egoyan                                               
1997;Directing                   ;1;Titanic                        ;James Cameron                                             
1998;Directing                   ;;Life Is Beautiful              ;Roberto Benigni                                           
1998;Directing                   ;1;Saving Private Ryan            ;Steven Spielberg                                          
1998;Directing                   ;;Shakespeare in Love            ;John Madden                                               
1998;Directing                   ;;The Thin Red Line              ;Terrence Malick                                           
1998;Directing                   ;;The Truman Show                ;Peter Weir                                                
1999;Directing                   ;1;American Beauty                ;Sam Mendes                                                
1999;Directing                   ;;Being John Malkovich           ;Spike Jonze                                               
1999;Directing                   ;;The Cider House Rules          ;Lasse Hallström                                          
1999;Directing                   ;;The Insider                    ;Michael Mann                                              
1999;Directing                   ;;The Sixth Sense                ;M. Night Shyamalan                                        
2000;Directing                   ;;Billy Elliot                   ;Stephen Daldry                                            
2000;Directing                   ;;Crouching Tiger, Hidden Dragon ;Ang Lee                                                   
2000;Directing                   ;;Erin Brockovich                ;Steven Soderbergh                                         
2000;Directing                   ;;Gladiator                      ;Ridley Scott                                              
2000;Directing                   ;1;Traffic                        ;Steven Soderbergh                                         
2001;Directing                   ;1;A Beautiful Mind               ;Ron Howard                                                
2001;Directing                   ;;Black Hawk Down                ;Ridley Scott                                              
2001;Directing                   ;;Gosford Park                   ;Robert Altman                                             
2001;Directing                   ;;The Lord of the Rings: The Fell;Peter Jackson                                             
2001;Directing                   ;;Mulholland Drive               ;David Lynch                                               
2002;Directing                   ;;Chicago                        ;Rob Marshall                                              
2002;Directing                   ;;Gangs of New York              ;Martin Scorsese                                           
2002;Directing                   ;;The Hours                      ;Stephen Daldry                                            
2002;Directing                   ;1;The Pianist                    ;Roman Polanski                                            
2002;Directing                   ;;Talk to Her                    ;Pedro Almodóvar                                          
2003;Directing                   ;;City of God                    ;Fernando Meirelles                                        
2003;Directing                   ;1;The Lord of the Rings: The Retu;Peter Jackson                                             
2003;Directing                   ;;Lost in Translation            ;Sofia Coppola                                             
2003;Directing                   ;;Master and Commander: The Far S;Peter Weir                                                
2003;Directing                   ;;Mystic River                   ;Clint Eastwood                                            
2004;Directing                   ;;The Aviator                    ;Martin Scorsese                                           
2004;Directing                   ;1;Million Dollar Baby            ;Clint Eastwood                                            
2004;Directing                   ;;Ray                            ;Taylor Hackford                                           
2004;Directing                   ;;Sideways                       ;Alexander Payne                                           
2004;Directing                   ;;Vera Drake                     ;Mike Leigh                                                
2005;Directing                   ;1;Brokeback Mountain             ;Ang Lee                                                   
2005;Directing                   ;;Capote                         ;Bennett Miller                                            
2005;Directing                   ;;Crash                          ;Paul Haggis                                               
2005;Directing                   ;;Good Night, and Good Luck.     ;George Clooney                                            
2005;Directing                   ;;Munich                         ;Steven Spielberg                                          
2006;Directing                   ;;Babel                          ;Alejandro González Iñárritu                            
2006;Directing                   ;1;The Departed                   ;Martin Scorsese                                           
2006;Directing                   ;;Letters from Iwo Jima          ;Clint Eastwood                                            
2006;Directing                   ;;The Queen                      ;Stephen Frears                                            
2006;Directing                   ;;United 93                      ;Paul Greengrass                                           
2007;Directing                   ;;The Diving Bell and the Butterf;Julian Schnabel                                           
2007;Directing                   ;;Juno                           ;Jason Reitman                                             
2007;Directing                   ;;Michael Clayton                ;Tony Gilroy                                               
2007;Directing                   ;1;No Country for Old Men         ;Joel Coen and Ethan Coen                                  
2007;Directing                   ;;There Will Be Blood            ;Paul Thomas Anderson                                      
2008;Directing                   ;;The Curious Case of Benjamin Bu;David Fincher                                             
2008;Directing                   ;;Frost/Nixon                    ;Ron Howard                                                
2008;Directing                   ;;Milk                           ;Gus Van Sant                                              
2008;Directing                   ;;The Reader                     ;Stephen Daldry                                            
2008;Directing                   ;1;Slumdog Millionaire            ;Danny Boyle                                               
2009;Directing                   ;;Avatar                         ;James Cameron                                             
2009;Directing                   ;1;The Hurt Locker                ;Kathryn Bigelow                                           
2009;Directing                   ;;Inglourious Basterds           ;Quentin Tarantino                                         
2009;Directing                   ;;Precious: Based on the Novel 'P;Lee Daniels                                               
2009;Directing                   ;;Up in the Air                  ;Jason Reitman                                             
2010;Directing                   ;;Black Swan                     ;Darren Aronofsky                                          
2010;Directing                   ;;The Fighter                    ;David O. Russell                                          
