Ano,Partido,Nome,Etnia,Pais,Continente,Estado,Categoria,Winner
1965,Democratic,Laurence Olivier,White,England,Europe,0,ACTOR,0
1965,Democratic,Rod Steiger,White,USA,North America,New York,ACTOR,0
1965,Democratic,Oskar Werner,White,Austria,Europe,0,ACTOR,0
1965,Democratic,Martin Balsam,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,1
1965,Democratic,Ian Bannen,White,Scotland,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1965,Democratic,Tom Courtenay,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1965,Democratic,Michael Dunn,White,USA,North America,Oklahoma,ACTOR IN A SUPPORTING ROLE,0
1965,Democratic,Frank Finlay,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1965,Democratic,Julie Andrews,White,England,Europe,0,ACTRESS,0
1965,Democratic,Julie Christie,White,India,Asia,0,ACTRESS,1
1965,Democratic,Samantha Eggar,White,England,Europe,0,ACTRESS,0
1965,Democratic,Elizabeth Hartman,White,USA,North America,Ohio,ACTRESS,0
1965,Democratic,Simone Signoret,White,Germany,Europe,0,ACTRESS,0
1965,Democratic,Ruth Gordon,White,USA,North America,Massachusetts,ACTRESS IN A SUPPORTING ROLE,0
1965,Democratic,Joyce Redman,White,England,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1965,Democratic,Maggie Smith,White,England,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1965,Democratic,Shelley Winters,White,USA,North America,Missouri,ACTRESS IN A SUPPORTING ROLE,1
1965,Democratic,Peggy Wood,White,USA,North America,New York,ACTRESS IN A SUPPORTING ROLE,0
1966,Democratic,Alan Arkin,White,USA,North America,New York,ACTOR,0
1966,Democratic,Richard Burton,White,Wales,Europe,0,ACTOR,0
1966,Democratic,Michael Caine,White,England,Europe,0,ACTOR,0
1966,Democratic,Steve McQueen,White,USA,North America,Indiana,ACTOR,0
1966,Democratic,Paul Scofield,White,England,Europe,0,ACTOR,1
1966,Democratic,Mako,Asian,Japan,Asia,0,ACTOR IN A SUPPORTING ROLE,0
1966,Democratic,James Mason,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1966,Democratic,Walter Matthau,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,1
1966,Democratic,George Segal,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,0
1966,Democratic,Robert Shaw,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1966,Democratic,Anouk Aimee,White,France,Europe,0,ACTRESS,0
1966,Democratic,Ida Kaminska,Asian,Ukraine,Europe,0,ACTRESS,0
1966,Democratic,Lynn Redgrave,White,England,Europe,0,ACTRESS,0
1966,Democratic,Vanessa Redgrave,White,England,Europe,0,ACTRESS,0
1966,Democratic,Elizabeth Taylor,White,England,Europe,0,ACTRESS,1
1966,Democratic,Sandy Dennis,White,USA,North America,Nebraska,ACTRESS IN A SUPPORTING ROLE,1
1966,Democratic,Wendy Hiller,White,England,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1966,Democratic,Jocelyne Lagarde,Asian,France,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1966,Democratic,Vivien Merchant,White,England,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1966,Democratic,Geraldine Page,White,USA,North America,Missouri,ACTRESS IN A SUPPORTING ROLE,0
1967,Democratic,Warren Beatty,White,USA,North America,Virginia,ACTOR,0
1967,Democratic,Dustin Hoffman,White,USA,North America,California,ACTOR,0
1967,Democratic,Paul Newman,White,USA,North America,Ohio,ACTOR,0
1967,Democratic,Rod Steiger,White,USA,North America,New York,ACTOR,1
1967,Democratic,Spencer Tracy,White,USA,North America,Wisconsin,ACTOR,0
1967,Democratic,John Cassavetes,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,0
1967,Democratic,Gene Hackman,White,USA,North America,California,ACTOR IN A SUPPORTING ROLE,0
1967,Democratic,Cecil Kellaway,White,South Africa,Africa,0,ACTOR IN A SUPPORTING ROLE,0
1967,Democratic,George Kennedy,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,1
1967,Democratic,Michael J. Pollard,White,USA,North America,New Jersey,ACTOR IN A SUPPORTING ROLE,0
1967,Democratic,Anne Bancroft,White,USA,North America,New York,ACTRESS,0
