year,orientation,ethnicity,winner,ratio,party
1936,Bisexual,Black,1,0,Democratic
1936,Bisexual,Hispanic,1,0,Democratic
1936,Bisexual,White,1,0,Democratic
1936,Bisexual,Asian,2,0,Democratic
1936,Bisexual,Black,2,0,Democratic
1936,Bisexual,Hispanic,2,0,Democratic
1936,Bisexual,White,2,0,Democratic
1936,Gay     ,Asian,0,0,Democratic
1936,Gay     ,Black,0,0,Democratic
1936,Gay     ,Hispanic,0,0,Democratic
1936,Gay     ,White,0,0,Democratic
1936,Gay     ,Asian,1,0,Democratic
1936,Gay     ,Black,1,0,Democratic
1936,Gay     ,Hispanic,1,0,Democratic
1936,Gay     ,White,1,0,Democratic
1936,Gay     ,Asian,2,0,Democratic
1936,Gay     ,Black,2,0,Democratic
1936,Gay     ,Hispanic,2,0,Democratic
1936,Gay     ,White,2,0,Democratic
1936,Lesbian ,Asian,0,0,Democratic
1936,Lesbian ,Black,0,0,Democratic
1936,Lesbian ,Hispanic,0,0,Democratic
1936,Lesbian ,White,0,0,Democratic
1936,Lesbian ,Asian,1,0,Democratic
1936,Lesbian ,Black,1,0,Democratic
1936,Lesbian ,Hispanic,1,0,Democratic
1936,Lesbian ,White,1,0,Democratic
1936,Lesbian ,Asian,2,0,Democratic
1936,Lesbian ,Black,2,0,Democratic
1936,Lesbian ,Hispanic,2,0,Democratic
1936,Lesbian ,White,2,0,Democratic
1936,Straight,Asian,0,0,Democratic
1936,Straight,Black,0,0,Democratic
1936,Straight,Hispanic,0,0,Democratic
1936,Straight,White,0,100,Democratic
1936,Straight,Asian,1,0,Democratic
1936,Straight,Black,1,0,Democratic
1936,Straight,Hispanic,1,0,Democratic
1936,Straight,White,1,100,Democratic
1936,Straight,Asian,2,0,Democratic
1936,Straight,Black,2,0,Democratic
1936,Straight,Hispanic,2,0,Democratic
1936,Straight,White,2,100,Democratic
1937,Bisexual,Asian,0,0,Democratic
1937,Bisexual,Black,0,0,Democratic
1937,Bisexual,Hispanic,0,0,Democratic
1937,Bisexual,White,0,5,Democratic
1937,Bisexual,Asian,1,0,Democratic
1937,Bisexual,Black,1,0,Democratic
1937,Bisexual,Hispanic,1,0,Democratic
1937,Bisexual,White,1,0,Democratic
1937,Bisexual,Asian,2,0,Democratic
1937,Bisexual,Black,2,0,Democratic
1937,Bisexual,Hispanic,2,0,Democratic
1937,Bisexual,White,2,4,Democratic
1937,Gay     ,Asian,0,0,Democratic
1937,Gay     ,Black,0,0,Democratic
1937,Gay     ,Hispanic,0,0,Democratic
1937,Gay     ,White,0,0,Democratic
1937,Gay     ,Asian,1,0,Democratic
1937,Gay     ,Black,1,0,Democratic
1937,Gay     ,Hispanic,1,0,Democratic
1937,Gay     ,White,1,0,Democratic
1937,Gay     ,Asian,2,0,Democratic
1937,Gay     ,Black,2,0,Democratic
1937,Gay     ,Hispanic,2,0,Democratic
1937,Gay     ,White,2,0,Democratic
1937,Lesbian ,Asian,0,0,Democratic
1937,Lesbian ,Black,0,0,Democratic
1937,Lesbian ,Hispanic,0,0,Democratic
1937,Lesbian ,White,0,0,Democratic
1937,Lesbian ,Asian,1,0,Democratic
1937,Lesbian ,Black,1,0,Democratic
1937,Lesbian ,Hispanic,1,0,Democratic
1937,Lesbian ,White,1,0,Democratic
1937,Lesbian ,Asian,2,0,Democratic
1937,Lesbian ,Black,2,0,Democratic
1937,Lesbian ,Hispanic,2,0,Democratic
1937,Lesbian ,White,2,0,Democratic
1937,Straight,Asian,0,0,Democratic
1937,Straight,Black,0,0,Democratic
1937,Straight,Hispanic,0,0,Democratic
1937,Straight,White,0,95,Democratic
1937,Straight,Asian,1,0,Democratic
1937,Straight,Black,1,0,Democratic
1937,Straight,Hispanic,1,0,Democratic
1937,Straight,White,1,100,Democratic
1937,Straight,Asian,2,0,Democratic
1937,Straight,Black,2,0,Democratic
1937,Straight,Hispanic,2,0,Democratic
1937,Straight,White,2,96,Democratic
1938,Bisexual,Asian,0,0,Democratic
1938,Bisexual,Black,0,0,Democratic
1938,Bisexual,Hispanic,0,0,Democratic
1938,Bisexual,White,0,0,Democratic
1938,Bisexual,Asian,1,0,Democratic
1938,Bisexual,Black,1,0,Democratic
1938,Bisexual,Hispanic,1,0,Democratic
1938,Bisexual,White,1,0,Democratic
1938,Bisexual,Asian,2,0,Democratic
1938,Bisexual,Black,2,0,Democratic
1938,Bisexual,Hispanic,2,0,Democratic
1938,Bisexual,White,2,0,Democratic
1938,Gay     ,Asian,0,0,Democratic
1938,Gay     ,Black,0,0,Democratic
1938,Gay     ,Hispanic,0,0,Democratic
1938,Gay     ,White,0,0,Democratic
1938,Gay     ,Asian,1,0,Democratic
